Customer ID,First Name,Last Name,Email Address,,Address,City,Country
11000,JON,YANG,jon24@adventure-works.com,,1970 Napa Ct.,Bothell,United States
11001,EUGENE,HUANG,eugene10@adventure-works.com,,9833 Mt. Dias Blv.,Bothell,United States
11002,RUBEN,TORRES,ruben35@adventure-works.com,,7484 Roundtree Drive,Bothell,United States
11003,CHRISTY,ZHU,christy12@adventure-works.com,,9539 Glenside Dr,Bothell,United States
11004,ELIZABETH,JOHNSON,elizabeth5@adventure-works.com,,1226 Shoe St.,Bothell,United States
11005,JULIO,RUIZ,julio1@adventure-works.com,,1399 Firestone Drive,Bothell,United States
11007,MARCO,MEHTA,marco14@adventure-works.com,,5672 Hale Dr.,Bothell,United States
11008,ROBIN,VERHOFF,rob4@adventure-works.com,,6387 Scenic Avenue,Bothell,United States
11009,SHANNON,CARLSON,shannon38@adventure-works.com,,8713 Yosemite Ct.,Bothell,United States
11010,JACQUELYN,SUAREZ,jacquelyn20@adventure-works.com,,250 Race Court,Bothell,United States
11011,CURTIS,LU,curtis9@adventure-works.com,,1318 Lasalle Street,Bothell,United States
11012,LAUREN,WALKER,lauren41@adventure-works.com,,5415 San Gabriel Dr.,Bothell,United States
11013,IAN,JENKINS,ian47@adventure-works.com,,9265 La Paz,Bothell,United States
11014,SYDNEY,BENNETT,sydney23@adventure-works.com,,8157 W. Book,Bothell,United States
11015,CHLOE,YOUNG,chloe23@adventure-works.com,,4912 La Vuelta,Bothell,United States
11016,WYATT,HILL,wyatt32@adventure-works.com,,40 Ellis St.,Bothell,United States
11017,SHANNON,WANG,shannon1@adventure-works.com,,6696 Anchor Drive,Bothell,United States
11018,CLARENCE,RAI,clarence32@adventure-works.com,,1873 Lion Circle,Bothell,United States
11019,LUKE,LAL,luke18@adventure-works.com,,3148 Rose Street,Bothell,United States
11020,JORDAN,KING,jordan73@adventure-works.com,,6872 Thornwood Dr.,Bothell,United States
11021,DESTINY,WILSON,destiny7@adventure-works.com,,5747 Shirley Drive,Bothell,United States
11022,ETHAN,ZHANG,ethan20@adventure-works.com,,636 Vine Hill Way,Portland,United States
11023,SETH,EDWARDS,seth46@adventure-works.com,,6657 Sand Pointe Lane,Seattle,United States
11024,RUSSELL,XIE,russell7@adventure-works.com,,80 Sunview Terrace,Duluth,United States
11025,ALEJANDRO,BECK,alejandro45@adventure-works.com,,9178 Jumping St.,Dallas,United States
11026,HAROLD,SAI,harold3@adventure-works.com,,5725 Glaze Drive,San Francisco,United States
11027,JESSIE,ZHAO,jessie16@adventure-works.com,,2487 Riverside Drive,Nevada,United States
11028,JILL,JIMENEZ,jill13@adventure-works.com,,9228 Via Del Sol,Phoenix,United States
11029,JIMMY,MORENO,jimmy9@adventure-works.com,,8291 Crossbow Way,Memphis,United States
11030,BETHANY,YUAN,bethany10@adventure-works.com,,9707 Coldwater Drive,Orlando,United States
11031,THERESA,RAMOS,theresa13@adventure-works.com,,9100 Sheppard Avenue North,Ottawa,Canada
11032,DENISE,STONE,denise10@adventure-works.com,,26910 Indela Road,Montreal,Canada
11033,JAIME,NATH,jaime41@adventure-works.com,,10203 Acorn Avenue,Calgary,Canada
11034,EBONY,GONZALEZ,ebony19@adventure-works.com,,"94, rue Descartes",Bordeaux,France
11035,WENDY,DOMINGUEZ,wendy12@adventure-works.com,,Pascalstr 951,Berlin,Germany
11036,JENNIFER,RUSSELL,jennifer93@adventure-works.com,,34 Waterloo Road,Melbourne,Australia
11037,CHLOE,GARCIA,chloe27@adventure-works.com,,Downshire Way,Cambridge,United Kingdom
11038,DIANA,HERNANDEZ,diana2@adventure-works.com,,8154 Via Mexico,Detroit,United States
11039,MARC,MARTIN,marc3@adventure-works.com,,3997 Via De Luna,Cambridge,United States
11040,JESSE,MURPHY,jesse15@adventure-works.com,,1902 Santa Cruz,Bothell,United States
11041,AMANDA,CARTER,amanda53@adventure-works.com,,793 Crawford Street,Kenmore,United States
11042,MEGAN,SANCHEZ,megan28@adventure-works.com,,463 H Stagecoach Rd.,Kenmore,United States
11043,NATHAN,SIMMONS,nathan11@adventure-works.com,,5203 Virginia Lane,Kenmore,United States
11044,ADAM,FLORES,adam10@adventure-works.com,,4095 Cooper Dr.,Kenmore,United States
11045,LEONARD,NARA,leonard18@adventure-works.com,,6697 Ridge Park Drive,Kenmore,United States
11046,CHRISTINE,YUAN,christine4@adventure-works.com,,5669 Ironwood Way,Kenmore,United States
11047,JACLYN,LU,jaclyn12@adventure-works.com,,8192 Seagull Court,Kenmore,United States
11048,JEREMY,POWELL,jeremy26@adventure-works.com,,5553 Cash Avenue,Kenmore,United States
11049,CAROL,RAI,carol8@adventure-works.com,,7048 Laurel,Kenmore,United States
11050,ALAN,ZHENG,alan23@adventure-works.com,,25 95th Ave NE,Kenmore,United States
11051,DANIEL,JOHNSON,daniel18@adventure-works.com,,3280 Pheasant Circle,Snohomish,United States
11052,HEIDI,LOPEZ,heidi19@adventure-works.com,,4231 Spar Court,Snohomish,United States
11053,ANA,PRICE,ana0@adventure-works.com,,1285 Greenbrier Street,Snohomish,United States
11054,DEANNA,MUNOZ,deanna33@adventure-works.com,,5724 Victory Lane,Snohomish,United States
11055,GILBERT,RAJE,gilbert35@adventure-works.com,,591 Merriewood Drive,Snohomish,United States
11056,MICHELE,NATH,michele19@adventure-works.com,,3114 Notre Dame Ave.,Snohomish,United States
11057,CARL,ANDERSEN,carl12@adventure-works.com,,7230 Vine Maple Street,Snohomish,United States
11058,MARC,DIAZ,marc6@adventure-works.com,,2601 Cambridge Drive,Snohomish,United States
11059,ASHLEE,ANDERSEN,ashlee19@adventure-works.com,,2115 Passing,Snohomish,United States
11060,JON,ZHOU,jon28@adventure-works.com,,4852 Chaparral Court,Snohomish,United States
11061,TODD,GAO,todd14@adventure-works.com,,7726 Driftwood Drive,Monroe,United States
11062,NOAH,POWELL,noah5@adventure-works.com,,3841 Silver Oaks Place,Monroe,United States
11063,ANGELA,MURPHY,angela41@adventure-works.com,,9652 Los Angeles,Monroe,United States
11064,CHASE,REED,chase21@adventure-works.com,,4566 La Jolla,Monroe,United States
11065,JESSICA,HENDERSON,jessica29@adventure-works.com,,1356 Grove Way,Monroe,United States
11066,GRACE,BUTLER,grace62@adventure-works.com,,4775 Kentucky Dr.,Monroe,United States
11067,CALEB,CARTER,caleb40@adventure-works.com,,4734 Sycamore Court,Monroe,United States
11068,TIFFANY,LIANG,tiffany17@adventure-works.com,,896 Southdale,Monroe,United States
11069,CAROLYN,NAVARRO,carolyn30@adventure-works.com,,2275 Valley Blvd.,Monroe,United States
11070,WILLIE,RAJI,willie40@adventure-works.com,,1792 Belmont Rd.,Monroe,United States
11071,LINDA,SERRANO,linda31@adventure-works.com,,5734 Ashford Court,Monroe,United States
11072,CASEY,LUO,casey6@adventure-works.com,,5030 Blue Ridge Dr.,Monroe,United States
11073,AMY,YE,amy16@adventure-works.com,,158 Walnut Ave,Monroe,United States
11074,LEVI,ARUN,levi6@adventure-works.com,,8310 Ridge Circle,Monroe,United States
11075,FELICIA,JIMENEZ,felicia4@adventure-works.com,,3747 W. Landing Avenue,Monroe,United States
11076,BLAKE,ANDERSON,blake9@adventure-works.com,,2598 La Vista Circle,Duvall,United States
11077,LEAH,YE,leah7@adventure-works.com,,9693 Mellowood Street,Duvall,United States
11078,GINA,MARTIN,gina1@adventure-works.com,,1825 Corte Del Prado,Duvall,United States
11079,DONALD,GONZALEZ,donald20@adventure-works.com,,5086 Nottingham Place,Duvall,United States
11080,DAMIEN,CHANDER,damien32@adventure-works.com,,3977 Central Avenue,Duvall,United States
11081,SAVANNAH,BAKER,savannah39@adventure-works.com,,8209 Green View Court,Duvall,United States
11082,ANGELA,BUTLER,angela17@adventure-works.com,,8463 Vista Avenue,Duvall,United States
11083,ALYSSA,COX,alyssa37@adventure-works.com,,5379 Treasure Island Way,Duvall,United States
11084,LUCAS,PHILLIPS,lucas7@adventure-works.com,,3421 Bouncing Road,Duvall,United States
11085,EMILY,JOHNSON,emily1@adventure-works.com,,991 Vista Verde,Duvall,United States
11086,RYAN,BROWN,ryan43@adventure-works.com,,390 Ridgewood Ct.,Carnation,United States
11087,TAMARA,LIANG,tamara6@adventure-works.com,,1411 Ranch Drive,Carnation,United States
11089,ABIGAIL,PRICE,abigail25@adventure-works.com,,9666 Northridge Ct.,Carnation,United States
11090,TREVOR,BRYANT,trevor18@adventure-works.com,,3074 Arbor Drive,Carnation,United States
11091,DALTON,PEREZ,dalton37@adventure-works.com,,9752 Jeanne Circle,Carnation,United States
11092,CHERYL,DIAZ,cheryl4@adventure-works.com,,7166 Brock Lane,Seattle,United States
11093,AIMEE,HE,aimee13@adventure-works.com,,7126 Ending Ct.,Seattle,United States
11094,CEDRIC,MA,cedric15@adventure-works.com,,4598 Manila Avenue,Seattle,United States
11095,CHAD,KUMAR,chad9@adventure-works.com,,5666 Hazelnut Lane,Seattle,United States
11096,ANDRÉS,ANAND,andrés18@adventure-works.com,,1220 Bradford Way,Seattle,United States
11097,EDWIN,NARA,edwin39@adventure-works.com,,5375 Clearland Circle,Seattle,United States
11098,MALLORY,RUBIO,mallory7@adventure-works.com,,2639 Anchor Court,Seattle,United States
11099,ADAM,ROSS,adam2@adventure-works.com,,502 Alexander Pl.,Seattle,United States
11100,LATASHA,NAVARRO,latasha10@adventure-works.com,,5802 Ampersand Drive,Seattle,United States
11101,ABBY,SAI,abby4@adventure-works.com,,5125 Cotton Ct.,Seattle,United States
11102,JULIA,NELSON,julia7@adventure-works.com,,3243 Buckingham Dr.,Seattle,United States
11103,CASSIE,CHANDE,cassie13@adventure-works.com,,3029 Pastime Dr,Seattle,United States
11104,EDGAR,SARA,edgar11@adventure-works.com,,9537 Ridgewood Drive,Seattle,United States
11105,CANDACE,FERNANDEZ,candace15@adventure-works.com,,9964 North Ridge Drive,Seattle,United States
11106,JESSIE,LIU,jessie9@adventure-works.com,,1619 Stillman Court,Seattle,United States
11107,BIANCA,LIN,bianca7@adventure-works.com,,2144 San Rafael,Seattle,United States
11108,KARI,ALVAREZ,kari25@adventure-works.com,,7403 N. Broadway,Seattle,United States
11109,RUBEN,KAPOOR,ruben1@adventure-works.com,,7842 Ygnacio Valley Road,Seattle,United States
11110,CURTIS,YANG,curtis5@adventure-works.com,,874 Olivera Road,Seattle,United States
11111,MEREDITH,GUTIERREZ,meredith34@adventure-works.com,,1064 Slow Creek Road,Seattle,United States
11112,CRYSTAL,WANG,crystal3@adventure-works.com,,77 Birchwood,Seattle,United States
11113,MICHEAL,BLANCO,micheal11@adventure-works.com,,7765 Sunsine Drive,Seattle,United States
11114,LESLIE,MORENO,leslie7@adventure-works.com,,1102 Ravenwood,Seattle,United States
11115,ALVIN,CAI,alvin20@adventure-works.com,,1398 Yorba Linda,Seattle,United States
11116,CLINTON,CARLSON,clinton14@adventure-works.com,,4948 West 4th St,Seattle,United States
11117,APRIL,DENG,april1@adventure-works.com,,8290 Margaret Ct.,Seattle,United States
11118,ALVIN,ZENG,alvin21@adventure-works.com,,426 San Rafael,Seattle,United States
11119,EVAN,JAMES,evan8@adventure-works.com,,136 Balboa Court,Seattle,United States
11121,ORLANDO,SUAREZ,orlando19@adventure-works.com,,7439 Laguna Niguel,Seattle,United States
11122,BYRON,VAZQUEZ,byron9@adventure-works.com,,6498 Mining Rd.,Seattle,United States
11123,PHILIP,ALVAREZ,philip4@adventure-works.com,,6578 Woodhaven Ln.,Seattle,United States
11124,ROSS,JORDAN,ross1@adventure-works.com,,2354 Frame Ln.,Seattle,United States
11125,DANA,NAVARRO,dana2@adventure-works.com,,6843 San Simeon Dr.,Seattle,United States
11126,SHAUN,CARSON,shaun16@adventure-works.com,,7616 Honey Court,Seattle,United States
11127,JAN,EDWARDS,jan11@adventure-works.com,,931 Corte De Luna,Seattle,United States
11128,SAMANTHA,LONG,samantha35@adventure-works.com,,7594 Alexander Pl.,Seattle,United States
11129,JULIA,WRIGHT,julia17@adventure-works.com,,7127 Los Gatos Court,Seattle,United States
11130,CAROLINE,RUSSELL,caroline21@adventure-works.com,,8656 Lakespring Place,Seattle,United States
11131,AMANDA,RIVERA,amanda7@adventure-works.com,,5025 Holiday Hills,Seattle,United States
11132,MELISSA,RICHARDSON,melissa31@adventure-works.com,,5376 Catanzaro Way,Seattle,United States
11133,ANGELA,GRIFFIN,angela23@adventure-works.com,,504 O St.,Edmonds,United States
11134,LARRY,TOWNSEND,larry14@adventure-works.com,,6870 D Bel Air Drive,Edmonds,United States
11135,MARCUS,HARRIS,marcus14@adventure-works.com,,8152 Claudia Dr.,Edmonds,United States
11136,BRIANNA,MORGAN,brianna30@adventure-works.com,,6057 Hill Street,Edmonds,United States
11137,JASMINE,TAYLOR,jasmine7@adventure-works.com,,2812 Mazatlan,Edmonds,United States
11138,LAUREN,DAVIS,lauren23@adventure-works.com,,172 Turning Dr.,Edmonds,United States
11139,TANYA,MORENO,tanya2@adventure-works.com,,9784 Mt Etna Drive,Edmonds,United States
11140,JAVIER,ALVAREZ,javier1@adventure-works.com,,2059 Clay Rd,Edmonds,United States
11141,NICOLE,RAMIREZ,nicole42@adventure-works.com,,2687 Ridge Road,Edmonds,United States
11142,EDUARDO,PATTERSON,eduardo55@adventure-works.com,,371 Apple Dr.,Edmonds,United States
11143,JONATHAN,HENDERSON,jonathan4@adventure-works.com,,3281 Hillview Dr.,Edmonds,United States
11144,EDWARD,HERNANDEZ,edward48@adventure-works.com,,2080 Sycamore Drive,Edmonds,United States
11145,JASMINE,COLEMAN,jasmine46@adventure-works.com,,7511 Cooper Dr.,Edmonds,United States
11146,KARLA,GOEL,karla20@adventure-works.com,,9825 Coralie Drive,Edmonds,United States
11147,ERNEST,WU,ernest6@adventure-works.com,,8411 Mt. Orange Place,Edmonds,United States
11148,ROSS,VAZQUEZ,ross32@adventure-works.com,,207 Berry Court,Edmonds,United States
11149,THEODORE,GILL,theodore14@adventure-works.com,,1061 Buskrik Avenue,Edmonds,United States
11150,RUSSELL,SHEN,russell6@adventure-works.com,,3632 Bank Way,Edmonds,United States
